type,Country_entity,point_tooltip,iso_code,gwno,central_longitude,central_latitude
national,Afghanistan,"1 agreement was signed in Afghanistan in 2024, part of the Afghanistan-Pakistan: border incursions process. The most recent agreement was Joint Statement on the Talks Between Afghanistan and Pakistan Through the Mediation of Türkiye and Qatar (30/10/2025). Click on country for more information.",AFG,700.0,66.02471,33.83114
national,Armenia,"1 agreement was signed in Armenia in 2024, part of the Armenia-Azerbaijan-Nagorno Karabakh: US-led process. The most recent agreement was Joint Declaration by the President of the Republic of Azerbaijan, the Prime Minister of the Republic of Armenia and the President of the United States of America on the outcomes of their meeting in Washington D.C., United States of America (08/08/2025). Click on country for more information.",ARM,371.0,44.94022,40.29308
national,Azerbaijan,"1 agreement was signed in Azerbaijan in 2024, part of the Armenia-Azerbaijan-Nagorno Karabakh: US-led process. The most recent agreement was Joint Declaration by the President of the Republic of Azerbaijan, the Prime Minister of the Republic of Armenia and the President of the United States of America on the outcomes of their meeting in Washington D.C., United States of America (08/08/2025). Click on country for more information.",AZE,373.0,47.52871,40.29016
national,Cambodia,"5 agreements were signed in Cambodia in 2024, part of the Cambodia - Thailand border dispute process. The most recent agreement was Joint Statement of the 3rd Special General Border Committee (27/12/2025). Click on country for more information.",KHM,811.0,104.9112,12.70904
national,China,"1 agreement was signed in China in 2024, part of the China-India border dispute peace process. The most recent agreement was Ten Points of Consensus for 24th Round of SR Talks on Boundary Question (19/08/2025). Click on country for more information.",CHN,710.0,103.93,36.56735
national,Colombia,"23 agreements were signed in Colombia in 2024, in 5 processes (Colombia VII - Petro Peace Dialogues with the Coordinadora Nacional Ejército Bolivariano (CNEB), Colombia VII - Petro Peace Dialogues with ELN, Colombia VII - Petro Peace Dialogues with FARC-EP, Colombia VII - Petro Peace Dialogues with Segunda Marquetalia, Colombia VII - Petro Peace Dialogues with the Autodefensas Gaitanistas de Colombia). The most recent agreement was Protocolo para el Seguimiento, Monitoreo y Verificación de los Compromisos de Paz en Doha (05/12/2025). Click on country for more information.",COL,100.0,-73.0758,3.901116
national,Democratic Republic of Congo,"11 agreements were signed in Democratic Republic of Congo in 2024, part of the DRC: the Doha Track for Eastern DRC. The most recent agreement was Joint Declaration by the Democratic Republic of the Congo and the Republic of Rwanda on the Occasion of Establishing the Washington Accords for Peace and Prosperity (04/12/2025). Click on country for more information.",COD,490.0,23.6157,-2.86219
national,India,"3 agreements were signed in India in 2024, in 2 processes (India-Nagaland peace process, China-India border dispute peace process). The most recent agreement was Ceasefire Extension Agreement Between the Government of India and the National Socialist Council of Nagaland(K)Niki, Nagaland (09/09/2025). Click on country for more information.",IND,750.0,79.44333,23.37938
national,Israel,"4 agreements were signed in Israel in 2024, part of the Israel-Palestine peace process. The most recent agreement was UNSC Resolution 2803 (17/11/2025). Click on country for more information.",ISR,666.0,34.97922,31.97771
national,Pakistan,"1 agreement was signed in Pakistan in 2024, part of the Afghanistan-Pakistan: border incursions process. The most recent agreement was Joint Statement on the Talks Between Afghanistan and Pakistan Through the Mediation of Türkiye and Qatar (30/10/2025). Click on country for more information.",PAK,770.0,70.2101,30.31428
