country_name,iso3c,gwno,iso_n,gwc,total_fatalities,nr_events,polygon_tooltip,from,to,length,last_update
Haiti,HTI,41.0,332.0,HAI,430,42,"There have been an estimated 430 fatalities recorded in Haiti from 42 events in 3 conflict dyads (Haiti: Government, 103 Zombie - Civilians, Gran Grif - Civilians), since June 2024. The most recent conflict event was on 18 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Mexico,MEX,70.0,484.0,MEX,3118,2414,"There have been an estimated 3118 fatalities recorded in Mexico from 2414 events in 11 conflict dyads (Sinaloa Cartel - Los Chapitos - Sinaloa Cartel - Los Mayos, Jalisco Cartel New Generation - Sinaloa Cartel, Jalisco Cartel New Generation - Santa Rosa de Lima Cartel, Cartel Independiente de Acapulco - Los Rusos, Carteles Unidos - Michoacán Cartel New Generation, Jalisco Cartel New Generation, Sangre Nueva Zeta - Los Rojos, Juarez Cartel - Sinaloa Cartel, Carteles Unidos - Jalisco Cartel New Generation, Cartel Independiente de Acapulco - Los Rusos, UPOEG, Los Ardillos - Los Tlacos, Caborca Cartel, Sinaloa Cartel - Los Mayos - Sinaloa Cartel - Los Chapitos), since June 2024. The most recent conflict event was on 29 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Guatemala,GTM,90.0,320.0,GUA,10,5,"There have been an estimated 10 fatalities recorded in Guatemala from 5 events in the M18 (Guatemala) - Civilians conflict dyad, since June 2024. The most recent conflict event was on 07 August 2024.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Colombia,COL,100.0,170.0,COL,308,167,"There have been an estimated 308 fatalities recorded in Colombia from 167 events in 5 conflict dyads (Colombia: Government, FARC-EMC - FARC-EMC-Calarcá, EGC - Civilians, FARC-EMC - Civilians, EGC - ELN, FARC-EMC), since June 2024. The most recent conflict event was on 27 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Ecuador,ECU,130.0,218.0,ECU,177,89,"There have been an estimated 177 fatalities recorded in Ecuador from 89 events in 2 conflict dyads (Los Tiguerones Fenix faction - Los Tiguerones Igualitos faction, Los Choneros - Los Lobos), since June 2024. The most recent conflict event was on 06 March 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Brazil,BRA,140.0,76.0,BRA,589,539,"There have been an estimated 589 fatalities recorded in Brazil from 539 events in 9 conflict dyads (Bonde dos 40 - PCC, Cartel do Norte - Comando Vermelho, Comando Vermelho - PCC, Bonde dos 13, PCC - Comando Vermelho, Bonde dos 40 - Comando Vermelho, GDE, PCC - Sindicato do Crime, PCC - Sindicato do Crime, Amigos Para Sempre - Família Terror Amapá, Comando Vermelho - GDE), since June 2024. The most recent conflict event was on 22 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Russia,RUS,365.0,643.0,RUS,10145,902,"There have been an estimated 10145 fatalities recorded in Russia (Soviet Union) from 902 events in 2 conflict dyads (Russia - Ukraine, Russia: Islamic State), since June 2024. The most recent conflict event was on 23 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Ukraine,UKR,369.0,804.0,UKR,52982,6383,"There have been an estimated 52982 fatalities recorded in Ukraine from 6383 events in 2 conflict dyads (Russia - Ukraine, Government of Russia (Soviet Union) - Civilians), since June 2024. The most recent conflict event was on 29 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Mali,MLI,432.0,466.0,MLI,1870,513,"There have been an estimated 1870 fatalities recorded in Mali from 513 events in 12 conflict dyads (Government of Mali, Government of Russia (Soviet Union) - Civilians, Mali: Islamic State, Mali: Government, IS - Civilians, JNIM - Civilians, Dan na Ambassagou - JNIM, Government of Burkina Faso - Civilians, Government of Mali - Civilians, Mali: Government/Azawad, Dozos (Mali) - JNIM, IS - JNIM, Government of Russia (Soviet Union) - Civilians), since June 2024. The most recent conflict event was on 29 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Benin,BEN,434.0,204.0,BEN,40,13,"There have been an estimated 40 fatalities recorded in Benin from 13 events in 2 conflict dyads (JNIM - Civilians, Benin: Government), since June 2024. The most recent conflict event was on 06 February 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Niger,NER,436.0,562.0,NIR,980,68,"There have been an estimated 980 fatalities recorded in Niger from 68 events in 5 conflict dyads (IS - Civilians, Niger: Islamic State, JNIM - Civilians, Niger: Government, JAS - Civilians), since June 2024. The most recent conflict event was on 23 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Burkina Faso,BFA,439.0,854.0,BFO,2778,438,"There have been an estimated 2778 fatalities recorded in Burkina Faso from 438 events in 7 conflict dyads (Burkina Faso: Government, JNIM - Civilians, Government of Burkina Faso - Civilians, IS - Civilians, Mali: Government, IS - JNIM, Burkina Faso: Islamic State), since June 2024. The most recent conflict event was on 29 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Togo,TGO,461.0,768.0,TOG,49,8,"There have been an estimated 49 fatalities recorded in Togo from 8 events in 2 conflict dyads (Togo: Government, JNIM - Civilians), since June 2024. The most recent conflict event was on 19 November 2024.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
Cameroon,CMR,471.0,120.0,CAO,225,111,"There have been an estimated 225 fatalities recorded in Cameroon from 111 events in 6 conflict dyads (JAS - Civilians, Cameroon: Ambazonia, IS - Civilians, Cameroon: Government, Ambazonia insurgents - Civilians, IS - JAS), since June 2024. The most recent conflict event was on 28 June 2025.",June 2024,June 2025,12 months,UCDP GED Candidate (June 2025)
