con_type,name,id,iso_code,gwno,iso_n,gwc,Tracker,tracker_country,tracker_url,search_pax,total_agreements,unique_processes,peace_process_text,ucdp_country_id,ucdp_country,ucdp_fatalities_last_12,ucdp_events_last_12,ucdp_fatalities_last_month,ucdp_events_last_month,ucdp_fatalities_prev_month,ucdp_events_prev_month,ucdp_fatalities_prev_12_months,ucdp_events_prev_12_months,ucdp_change_in_events_last_month,ucdp_change_in_fatalities_last_month,ucdp_change_in_events_last_12_months,ucdp_change_in_fatalities_last_12_months,ucdp_percent_change_in_events_last_month,ucdp_percent_change_in_fatalities_last_month,ucdp_percent_change_in_events_last_12_months,ucdp_percent_change_in_fatalities_last_12_months,ucdp_last_updated,acled_iso_n,acled_Country,acled_fatalities_last_12,acled_events_last_12,acled_fatalities_last_month,acled_events_last_month,acled_fatalities_prev_month,acled_events_prev_month,acled_fatalities_prev_12_months,acled_events_prev_12_months,acled_change_in_events_last_month,acled_change_in_fatalities_last_month,acled_change_in_events_last_12_months,acled_change_in_fatalities_last_12_months,acled_percent_change_in_events_last_month,acled_percent_change_in_fatalities_last_month,acled_percent_change_in_events_last_12_months,acled_percent_change_in_fatalities_last_12_months,acled_last_updated,gpi_rank_value,gpi_total_con,gpi_summary,cpi_rank_value,cpi_total_con,cpi_summary,ipc_summary,idmc_summary,inform_summary,nap_summary,sm_general_updates,general_updates
pax,Afghanistan,5.0,AFG,700.0,4.0,AFG,1.0,Afghanistan,https://www.peaceagreements.org/tracker/afghanistan,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=5&match_any_issues=True&name=&text=&signed_after=&signed_before=,29,5,"<ul><li>The most recent agreement signed in Afghanistan was <a href=""https://www.peaceagreements.org/agreements/2879/"" target=""_blank"">Joint Statement on the Talks Between Afghanistan and Pakistan Through the Mediation of Türkiye and Qatar (30/10/2025)</a>, as part of the Afghanistan-Pakistan: border incursions process.</li><li>There has been a total of 29 agreements in Afghanistan, since the first agreement was signed in 1992 (<a href=""https://www.peaceagreements.org/agreements/482/"" target=""_blank"">Peshawar Accord (24/04/1992)</a>), in 5 peace processes (Afghanistan: 1990s Taliban process, Afghanistan: 2000s Post-intervention process, Afghanistan Islamic-Emirates-intra-Afghan, Afghanistan-Pakistan: border incursions process, Pakistan-Taliban process).</li></ul>",700.0,Afghanistan,98.0,51.0,0.0,0.0,0.0,0.0,328.0,154.0,0.0,0.0,-103.0,-230.0,0.0,0.0,-66.88311688311688,-70.1219512195122,2026-01-31,4.0,Afghanistan,1146,884,355,192,116,95,1390,1115,97,239,-231,-244,102.10526315789474,206.0344827586207,-20.717488789237667,-17.553956834532375,2026-03-31,158.0,165,Afghanistan ranked 158 out of 165 countries in the Global Peace Index (2025).,169.0,182,Afghanistan ranked 169 out of 182 countries in the Corruption Perception Index (2025).,"In the current period of analysis (Oct 2025) by the <a href='https://data.humdata.org/dataset/global-acute-food-insecurity-country-data', target='_blank'>IPC</a>, 28% of the population of Afghanistan are in IPC Phase 3+ (in food crisis), an estimated 13775635 people. 6% (2865558 people) are estimated to be in Phase 4 (emergency).","In Afghanistan there has been a total of 4,186,882 people displaced, with 3,219 new displacements in 2024 [<a href='https://data.humdata.org/dataset/idmc-internal-displacements-new-displacements-idps', target='_blank'>IDMC</a>].","There are 2 current crises and severity categories listed in the <a href=""https://www.acaps.org/en/thematics/all-topics/inform-severity-index"" target=""_blank"">INFORM Severity Index</a> for Afghanistan: 2025 Earthquake in Eastern Provinces (High), Complex crisis in Afghanistan (Very High), as of 31/03/26.","Afghanistan is one of 12 focus countries in the UK's WPS <a href='https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1156085/uk-women-peace-security-national-action-plan-2023-2027.pdf', target='_blank'>National Action Plan</a> for 2023-2027. ","<ul><li>In the current period of analysis (Oct 2025) by the <a href='https://data.humdata.org/dataset/global-acute-food-insecurity-country-data', target='_blank'>IPC</a>, 28% of the population of Afghanistan are in IPC Phase 3+ (in food crisis), an estimated 13775635 people. 6% (2865558 people) are estimated to be in Phase 4 (emergency).</li><li>In Afghanistan there has been a total of 4,186,882 people displaced, with 3,219 new displacements in 2024 [<a href='https://data.humdata.org/dataset/idmc-internal-displacements-new-displacements-idps', target='_blank'>IDMC</a>].</li><li>There are 2 current crises and severity categories listed in the <a href=""https://www.acaps.org/en/thematics/all-topics/inform-severity-index"" target=""_blank"">INFORM Severity Index</a> for Afghanistan: 2025 Earthquake in Eastern Provinces (High), Complex crisis in Afghanistan (Very High), as of 31/03/26.</li><li>Afghanistan is one of 12 focus countries in the UK's WPS <a href='https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1156085/uk-women-peace-security-national-action-plan-2023-2027.pdf', target='_blank'>National Action Plan</a> for 2023-2027.</li></ul>","<ul><li>Afghanistan ranked 158 out of 165 countries in the Global Peace Index (2025).</li><li>Afghanistan ranked 169 out of 182 countries in the Corruption Perception Index (2025).</li><li>In the current period of analysis (Oct 2025) by the <a href='https://data.humdata.org/dataset/global-acute-food-insecurity-country-data', target='_blank'>IPC</a>, 28% of the population of Afghanistan are in IPC Phase 3+ (in food crisis), an estimated 13775635 people. 6% (2865558 people) are estimated to be in Phase 4 (emergency).</li><li>In Afghanistan there has been a total of 4,186,882 people displaced, with 3,219 new displacements in 2024 [<a href='https://data.humdata.org/dataset/idmc-internal-displacements-new-displacements-idps', target='_blank'>IDMC</a>].</li><li>There are 2 current crises and severity categories listed in the <a href=""https://www.acaps.org/en/thematics/all-topics/inform-severity-index"" target=""_blank"">INFORM Severity Index</a> for Afghanistan: 2025 Earthquake in Eastern Provinces (High), Complex crisis in Afghanistan (Very High), as of 31/03/26.</li><li>Afghanistan is one of 12 focus countries in the UK's WPS <a href='https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1156085/uk-women-peace-security-national-action-plan-2023-2027.pdf', target='_blank'>National Action Plan</a> for 2023-2027.</li></ul>"
pax,Afghanistan,5.0,AFG,700.0,4.0,AFG,1.0,Afghanistan,https://www.peaceagreements.org/tracker/afghanistan,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=5&match_any_issues=True&name=&text=&signed_after=&signed_before=,29,5,"<ul><li>The most recent agreement signed in Afghanistan was <a href=""https://www.peaceagreements.org/agreements/2879/"" target=""_blank"">Joint Statement on the Talks Between Afghanistan and Pakistan Through the Mediation of Türkiye and Qatar (30/10/2025)</a>, as part of the Afghanistan-Pakistan: border incursions process.</li><li>There has been a total of 29 agreements in Afghanistan, since the first agreement was signed in 1992 (<a href=""https://www.peaceagreements.org/agreements/482/"" target=""_blank"">Peshawar Accord (24/04/1992)</a>), in 5 peace processes (Afghanistan: 1990s Taliban process, Afghanistan: 2000s Post-intervention process, Afghanistan Islamic-Emirates-intra-Afghan, Afghanistan-Pakistan: border incursions process, Pakistan-Taliban process).</li></ul>",700.0,Afghanistan,98.0,51.0,0.0,0.0,0.0,0.0,328.0,154.0,0.0,0.0,-103.0,-230.0,0.0,0.0,-66.88311688311688,-70.1219512195122,2026-01-31,4.0,Afghanistan,1146,884,355,192,116,95,1390,1115,97,239,-231,-244,102.10526315789474,206.0344827586207,-20.717488789237667,-17.553956834532375,2026-03-31,3.229,165,Afghanistan ranked 3 out of 165 countries in the Global Peace Index (2025).,169.0,182,Afghanistan ranked 169 out of 182 countries in the Corruption Perception Index (2025).,"In the current period of analysis (Oct 2025) by the <a href='https://data.humdata.org/dataset/global-acute-food-insecurity-country-data', target='_blank'>IPC</a>, 28% of the population of Afghanistan are in IPC Phase 3+ (in food crisis), an estimated 13775635 people. 6% (2865558 people) are estimated to be in Phase 4 (emergency).","In Afghanistan there has been a total of 4,186,882 people displaced, with 3,219 new displacements in 2024 [<a href='https://data.humdata.org/dataset/idmc-internal-displacements-new-displacements-idps', target='_blank'>IDMC</a>].","There are 2 current crises and severity categories listed in the <a href=""https://www.acaps.org/en/thematics/all-topics/inform-severity-index"" target=""_blank"">INFORM Severity Index</a> for Afghanistan: 2025 Earthquake in Eastern Provinces (High), Complex crisis in Afghanistan (Very High), as of 31/03/26.","Afghanistan is one of 12 focus countries in the UK's WPS <a href='https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1156085/uk-women-peace-security-national-action-plan-2023-2027.pdf', target='_blank'>National Action Plan</a> for 2023-2027. ","<ul><li>In the current period of analysis (Oct 2025) by the <a href='https://data.humdata.org/dataset/global-acute-food-insecurity-country-data', target='_blank'>IPC</a>, 28% of the population of Afghanistan are in IPC Phase 3+ (in food crisis), an estimated 13775635 people. 6% (2865558 people) are estimated to be in Phase 4 (emergency).</li><li>In Afghanistan there has been a total of 4,186,882 people displaced, with 3,219 new displacements in 2024 [<a href='https://data.humdata.org/dataset/idmc-internal-displacements-new-displacements-idps', target='_blank'>IDMC</a>].</li><li>There are 2 current crises and severity categories listed in the <a href=""https://www.acaps.org/en/thematics/all-topics/inform-severity-index"" target=""_blank"">INFORM Severity Index</a> for Afghanistan: 2025 Earthquake in Eastern Provinces (High), Complex crisis in Afghanistan (Very High), as of 31/03/26.</li><li>Afghanistan is one of 12 focus countries in the UK's WPS <a href='https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1156085/uk-women-peace-security-national-action-plan-2023-2027.pdf', target='_blank'>National Action Plan</a> for 2023-2027.</li></ul>","<ul><li>Afghanistan ranked 3 out of 165 countries in the Global Peace Index (2025).</li><li>Afghanistan ranked 169 out of 182 countries in the Corruption Perception Index (2025).</li><li>In the current period of analysis (Oct 2025) by the <a href='https://data.humdata.org/dataset/global-acute-food-insecurity-country-data', target='_blank'>IPC</a>, 28% of the population of Afghanistan are in IPC Phase 3+ (in food crisis), an estimated 13775635 people. 6% (2865558 people) are estimated to be in Phase 4 (emergency).</li><li>In Afghanistan there has been a total of 4,186,882 people displaced, with 3,219 new displacements in 2024 [<a href='https://data.humdata.org/dataset/idmc-internal-displacements-new-displacements-idps', target='_blank'>IDMC</a>].</li><li>There are 2 current crises and severity categories listed in the <a href=""https://www.acaps.org/en/thematics/all-topics/inform-severity-index"" target=""_blank"">INFORM Severity Index</a> for Afghanistan: 2025 Earthquake in Eastern Provinces (High), Complex crisis in Afghanistan (Very High), as of 31/03/26.</li><li>Afghanistan is one of 12 focus countries in the UK's WPS <a href='https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1156085/uk-women-peace-security-national-action-plan-2023-2027.pdf', target='_blank'>National Action Plan</a> for 2023-2027.</li></ul>"
pax,Algeria,8.0,DZA,615.0,12.0,ALG,2.0,All,https://www.peaceagreements.org/tracker/all,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=8&match_any_issues=True&name=&text=&signed_after=&signed_before=,6,1,"<ul><li>The most recent agreement signed in Algeria was <a href=""https://www.peaceagreements.org/agreements/1595/"" target=""_blank"">Project de charte pour la paix et la réconciliation nationale (14/08/2005)</a>, as part of the Algeria: Bouteflika Process.</li><li>There has been a total of 6 agreements in Algeria, since the first agreement was signed in 1994 (<a href=""https://www.peaceagreements.org/agreements/484/"" target=""_blank"">Plate-forme portant consensus national sur la période transitoire (26/01/1994)</a>), in 1 peace process (Algeria: Bouteflika Process).</li></ul>",,,,,,,,,,,,,,,,,,,,12.0,Algeria,50,25,12,3,6,3,39,23,0,6,2,11,0.0,100.0,8.695652173913043,28.205128205128204,2026-03-31,92.0,165,Algeria ranked 92 out of 165 countries in the Global Peace Index (2025).,109.0,182,Algeria ranked 109 out of 182 countries in the Corruption Perception Index (2025).,,,"There are 3 current crises and severity categories listed in the <a href=""https://www.acaps.org/en/thematics/all-topics/inform-severity-index"" target=""_blank"">INFORM Severity Index</a> for Algeria: Displacement of Sahrawi refugees to Tindouf (Medium), International displacement to Algeria (Medium), Multiple crises in Algeria (Medium), as of 25/03/26.",,"<ul><li>There are 3 current crises and severity categories listed in the <a href=""https://www.acaps.org/en/thematics/all-topics/inform-severity-index"" target=""_blank"">INFORM Severity Index</a> for Algeria: Displacement of Sahrawi refugees to Tindouf (Medium), International displacement to Algeria (Medium), Multiple crises in Algeria (Medium), as of 25/03/26.</li></ul>","<ul><li>Algeria ranked 92 out of 165 countries in the Global Peace Index (2025).</li><li>Algeria ranked 109 out of 182 countries in the Corruption Perception Index (2025).</li><li>There are 3 current crises and severity categories listed in the <a href=""https://www.acaps.org/en/thematics/all-topics/inform-severity-index"" target=""_blank"">INFORM Severity Index</a> for Algeria: Displacement of Sahrawi refugees to Tindouf (Medium), International displacement to Algeria (Medium), Multiple crises in Algeria (Medium), as of 25/03/26.</li></ul>"
pax,Algeria,8.0,DZA,615.0,12.0,ALG,2.0,All,https://www.peaceagreements.org/tracker/all,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=8&match_any_issues=True&name=&text=&signed_after=&signed_before=,6,1,"<ul><li>The most recent agreement signed in Algeria was <a href=""https://www.peaceagreements.org/agreements/1595/"" target=""_blank"">Project de charte pour la paix et la réconciliation nationale (14/08/2005)</a>, as part of the Algeria: Bouteflika Process.</li><li>There has been a total of 6 agreements in Algeria, since the first agreement was signed in 1994 (<a href=""https://www.peaceagreements.org/agreements/484/"" target=""_blank"">Plate-forme portant consensus national sur la période transitoire (26/01/1994)</a>), in 1 peace process (Algeria: Bouteflika Process).</li></ul>",,,,,,,,,,,,,,,,,,,,12.0,Algeria,50,25,12,3,6,3,39,23,0,6,2,11,0.0,100.0,8.695652173913043,28.205128205128204,2026-03-31,2.042,165,Algeria ranked 2 out of 165 countries in the Global Peace Index (2025).,109.0,182,Algeria ranked 109 out of 182 countries in the Corruption Perception Index (2025).,,,"There are 3 current crises and severity categories listed in the <a href=""https://www.acaps.org/en/thematics/all-topics/inform-severity-index"" target=""_blank"">INFORM Severity Index</a> for Algeria: Displacement of Sahrawi refugees to Tindouf (Medium), International displacement to Algeria (Medium), Multiple crises in Algeria (Medium), as of 25/03/26.",,"<ul><li>There are 3 current crises and severity categories listed in the <a href=""https://www.acaps.org/en/thematics/all-topics/inform-severity-index"" target=""_blank"">INFORM Severity Index</a> for Algeria: Displacement of Sahrawi refugees to Tindouf (Medium), International displacement to Algeria (Medium), Multiple crises in Algeria (Medium), as of 25/03/26.</li></ul>","<ul><li>Algeria ranked 2 out of 165 countries in the Global Peace Index (2025).</li><li>Algeria ranked 109 out of 182 countries in the Corruption Perception Index (2025).</li><li>There are 3 current crises and severity categories listed in the <a href=""https://www.acaps.org/en/thematics/all-topics/inform-severity-index"" target=""_blank"">INFORM Severity Index</a> for Algeria: Displacement of Sahrawi refugees to Tindouf (Medium), International displacement to Algeria (Medium), Multiple crises in Algeria (Medium), as of 25/03/26.</li></ul>"
pax,Angola,9.0,AGO,540.0,24.0,ANG,2.0,All,https://www.peaceagreements.org/tracker/all,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=9&match_any_issues=True&name=&text=&signed_after=&signed_before=,13,2,"<ul><li>The most recent agreement signed in Angola was <a href=""https://www.peaceagreements.org/agreements/1336/"" target=""_blank"">Memorandum of Peace and Understanding in Cabinda Province (01/08/2006)</a>, as part of the Cabinda process.</li><li>There has been a total of 13 agreements in Angola, since the first agreement was signed in 1991 (<a href=""https://www.peaceagreements.org/agreements/207/"" target=""_blank"">Peace Accords for Angola, Lisbon ('Bicesse Accords') (31/05/1991)</a>), in 2 peace processes (Angola: UNITA process, Cabinda process).</li></ul>",,,,,,,,,,,,,,,,,,,,24.0,Angola,118,53,5,6,3,3,145,49,3,2,4,-27,100.0,66.66666666666666,8.16326530612245,-18.620689655172416,2026-03-31,76.0,165,Angola ranked 76 out of 165 countries in the Global Peace Index (2025).,120.0,182,Angola ranked 120 out of 182 countries in the Corruption Perception Index (2025).,"In the current period of analysis (Jun 2021) by the <a href='https://data.humdata.org/dataset/global-acute-food-insecurity-country-data', target='_blank'>IPC</a>, 49% of the population of Angola are in IPC Phase 3+ (in food crisis), an estimated 1315532 people. 12% (307288 people) are estimated to be in Phase 4 (emergency).",,"There is 1 current crisis and severity category listed in the <a href=""https://www.acaps.org/en/thematics/all-topics/inform-severity-index"" target=""_blank"">INFORM Severity Index</a> for Angola: Drought in South-West Angola (High), as of 28/02/26.",,"<ul><li>In the current period of analysis (Jun 2021) by the <a href='https://data.humdata.org/dataset/global-acute-food-insecurity-country-data', target='_blank'>IPC</a>, 49% of the population of Angola are in IPC Phase 3+ (in food crisis), an estimated 1315532 people. 12% (307288 people) are estimated to be in Phase 4 (emergency).</li><li>There is 1 current crisis and severity category listed in the <a href=""https://www.acaps.org/en/thematics/all-topics/inform-severity-index"" target=""_blank"">INFORM Severity Index</a> for Angola: Drought in South-West Angola (High), as of 28/02/26.</li></ul>","<ul><li>Angola ranked 76 out of 165 countries in the Global Peace Index (2025).</li><li>Angola ranked 120 out of 182 countries in the Corruption Perception Index (2025).</li><li>In the current period of analysis (Jun 2021) by the <a href='https://data.humdata.org/dataset/global-acute-food-insecurity-country-data', target='_blank'>IPC</a>, 49% of the population of Angola are in IPC Phase 3+ (in food crisis), an estimated 1315532 people. 12% (307288 people) are estimated to be in Phase 4 (emergency).</li><li>There is 1 current crisis and severity category listed in the <a href=""https://www.acaps.org/en/thematics/all-topics/inform-severity-index"" target=""_blank"">INFORM Severity Index</a> for Angola: Drought in South-West Angola (High), as of 28/02/26.</li></ul>"
pax,Angola,9.0,AGO,540.0,24.0,ANG,2.0,All,https://www.peaceagreements.org/tracker/all,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=9&match_any_issues=True&name=&text=&signed_after=&signed_before=,13,2,"<ul><li>The most recent agreement signed in Angola was <a href=""https://www.peaceagreements.org/agreements/1336/"" target=""_blank"">Memorandum of Peace and Understanding in Cabinda Province (01/08/2006)</a>, as part of the Cabinda process.</li><li>There has been a total of 13 agreements in Angola, since the first agreement was signed in 1991 (<a href=""https://www.peaceagreements.org/agreements/207/"" target=""_blank"">Peace Accords for Angola, Lisbon ('Bicesse Accords') (31/05/1991)</a>), in 2 peace processes (Angola: UNITA process, Cabinda process).</li></ul>",,,,,,,,,,,,,,,,,,,,24.0,Angola,118,53,5,6,3,3,145,49,3,2,4,-27,100.0,66.66666666666666,8.16326530612245,-18.620689655172416,2026-03-31,1.987,165,Angola ranked 1 out of 165 countries in the Global Peace Index (2025).,120.0,182,Angola ranked 120 out of 182 countries in the Corruption Perception Index (2025).,"In the current period of analysis (Jun 2021) by the <a href='https://data.humdata.org/dataset/global-acute-food-insecurity-country-data', target='_blank'>IPC</a>, 49% of the population of Angola are in IPC Phase 3+ (in food crisis), an estimated 1315532 people. 12% (307288 people) are estimated to be in Phase 4 (emergency).",,"There is 1 current crisis and severity category listed in the <a href=""https://www.acaps.org/en/thematics/all-topics/inform-severity-index"" target=""_blank"">INFORM Severity Index</a> for Angola: Drought in South-West Angola (High), as of 28/02/26.",,"<ul><li>In the current period of analysis (Jun 2021) by the <a href='https://data.humdata.org/dataset/global-acute-food-insecurity-country-data', target='_blank'>IPC</a>, 49% of the population of Angola are in IPC Phase 3+ (in food crisis), an estimated 1315532 people. 12% (307288 people) are estimated to be in Phase 4 (emergency).</li><li>There is 1 current crisis and severity category listed in the <a href=""https://www.acaps.org/en/thematics/all-topics/inform-severity-index"" target=""_blank"">INFORM Severity Index</a> for Angola: Drought in South-West Angola (High), as of 28/02/26.</li></ul>","<ul><li>Angola ranked 1 out of 165 countries in the Global Peace Index (2025).</li><li>Angola ranked 120 out of 182 countries in the Corruption Perception Index (2025).</li><li>In the current period of analysis (Jun 2021) by the <a href='https://data.humdata.org/dataset/global-acute-food-insecurity-country-data', target='_blank'>IPC</a>, 49% of the population of Angola are in IPC Phase 3+ (in food crisis), an estimated 1315532 people. 12% (307288 people) are estimated to be in Phase 4 (emergency).</li><li>There is 1 current crisis and severity category listed in the <a href=""https://www.acaps.org/en/thematics/all-topics/inform-severity-index"" target=""_blank"">INFORM Severity Index</a> for Angola: Drought in South-West Angola (High), as of 28/02/26.</li></ul>"
pax,Argentina,11.0,ARG,160.0,32.0,ARG,2.0,All,https://www.peaceagreements.org/tracker/all,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=11&match_any_issues=True&name=&text=&signed_after=&signed_before=,2,1,"<ul><li>The most recent agreement signed in Argentina was <a href=""https://www.peaceagreements.org/agreements/423/"" target=""_blank"">Joint Declaration on Cooperation over Offshore Activities in the South West Atlantic (27/09/1995)</a>, as part of the Argentina-UK: Falklands process.</li><li>There has been a total of 2 agreements in Argentina, since the first agreement was signed in 1990 (<a href=""https://www.peaceagreements.org/agreements/431/"" target=""_blank"">Joint Statement of Confidence-Building Measures, including an Information and Consultation System and Safety Measures for Air and Maritime Navigation (15/02/1990)</a>), in 1 peace process (Argentina-UK: Falklands process).</li></ul>",,,,,,,,,,,,,,,,,,,,32.0,Argentina,9,19,0,1,0,1,4,16,0,0,3,5,0.0,0.0,18.75,125.0,2026-03-31,1.768,165,Argentina ranked 1 out of 165 countries in the Global Peace Index (2025).,104.0,182,Argentina ranked 104 out of 182 countries in the Corruption Perception Index (2025).,,,,, ,<ul><li>Argentina ranked 1 out of 165 countries in the Global Peace Index (2025).</li><li>Argentina ranked 104 out of 182 countries in the Corruption Perception Index (2025).</li></ul>
pax,Argentina,11.0,ARG,160.0,32.0,ARG,2.0,All,https://www.peaceagreements.org/tracker/all,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=11&match_any_issues=True&name=&text=&signed_after=&signed_before=,2,1,"<ul><li>The most recent agreement signed in Argentina was <a href=""https://www.peaceagreements.org/agreements/423/"" target=""_blank"">Joint Declaration on Cooperation over Offshore Activities in the South West Atlantic (27/09/1995)</a>, as part of the Argentina-UK: Falklands process.</li><li>There has been a total of 2 agreements in Argentina, since the first agreement was signed in 1990 (<a href=""https://www.peaceagreements.org/agreements/431/"" target=""_blank"">Joint Statement of Confidence-Building Measures, including an Information and Consultation System and Safety Measures for Air and Maritime Navigation (15/02/1990)</a>), in 1 peace process (Argentina-UK: Falklands process).</li></ul>",,,,,,,,,,,,,,,,,,,,32.0,Argentina,9,19,0,1,0,1,4,16,0,0,3,5,0.0,0.0,18.75,125.0,2026-03-31,46.0,165,Argentina ranked 46 out of 165 countries in the Global Peace Index (2025).,104.0,182,Argentina ranked 104 out of 182 countries in the Corruption Perception Index (2025).,,,,, ,<ul><li>Argentina ranked 46 out of 165 countries in the Global Peace Index (2025).</li><li>Argentina ranked 104 out of 182 countries in the Corruption Perception Index (2025).</li></ul>
pax,Armenia,12.0,ARM,371.0,51.0,ARM,2.0,All,https://www.peaceagreements.org/tracker/all,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=12&match_any_issues=True&name=&text=&signed_after=&signed_before=,33,4,"<ul><li>The most recent agreement signed in Armenia was <a href=""https://www.peaceagreements.org/agreements/2804/"" target=""_blank"">Joint Declaration by the President of the Republic of Azerbaijan, the Prime Minister of the Republic of Armenia and the President of the United States of America on the outcomes of their meeting in Washington D.C., United States of America (08/08/2025)</a>, as part of the Armenia-Azerbaijan-Nagorno Karabakh: US-led process.</li><li>There has been a total of 33 agreements in Armenia, since the first agreement was signed in 1991 (<a href=""https://www.peaceagreements.org/agreements/611/"" target=""_blank"">Zheleznovodsk Declaration (23/09/1991)</a>), in 4 peace processes (Armenia-Azerbaijan-Nagorno Karabakh: Process 2020, Armenia-Azerbaijan-Nagorno Karabakh: OSCE Minsk Process, Armenia-Azerbaijan-Nagorno Karabakh: US-led process, Armenia-Azerbaijan-Nagorno Karabakh: Process 1990s).</li></ul>",,,,,,,,,,,,,,,,,,,,51.0,Armenia,2,94,0,1,0,0,0,67,1,0,27,2,0.0,0.0,40.298507462686565,0.0,2026-03-31,58.0,165,Armenia ranked 58 out of 165 countries in the Global Peace Index (2025).,65.0,182,Armenia ranked 65 out of 182 countries in the Corruption Perception Index (2025).,,"In Armenia, there were no reported displacements in 2024 [<a href='https://data.humdata.org/dataset/idmc-internal-displacements-new-displacements-idps', target='_blank'>IDMC</a>].",,,"<ul><li>In Armenia, there were no reported displacements in 2024 [<a href='https://data.humdata.org/dataset/idmc-internal-displacements-new-displacements-idps', target='_blank'>IDMC</a>].</li></ul>","<ul><li>Armenia ranked 58 out of 165 countries in the Global Peace Index (2025).</li><li>Armenia ranked 65 out of 182 countries in the Corruption Perception Index (2025).</li><li>In Armenia, there were no reported displacements in 2024 [<a href='https://data.humdata.org/dataset/idmc-internal-displacements-new-displacements-idps', target='_blank'>IDMC</a>].</li></ul>"
pax,Armenia,12.0,ARM,371.0,51.0,ARM,2.0,All,https://www.peaceagreements.org/tracker/all,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=12&match_any_issues=True&name=&text=&signed_after=&signed_before=,33,4,"<ul><li>The most recent agreement signed in Armenia was <a href=""https://www.peaceagreements.org/agreements/2804/"" target=""_blank"">Joint Declaration by the President of the Republic of Azerbaijan, the Prime Minister of the Republic of Armenia and the President of the United States of America on the outcomes of their meeting in Washington D.C., United States of America (08/08/2025)</a>, as part of the Armenia-Azerbaijan-Nagorno Karabakh: US-led process.</li><li>There has been a total of 33 agreements in Armenia, since the first agreement was signed in 1991 (<a href=""https://www.peaceagreements.org/agreements/611/"" target=""_blank"">Zheleznovodsk Declaration (23/09/1991)</a>), in 4 peace processes (Armenia-Azerbaijan-Nagorno Karabakh: Process 2020, Armenia-Azerbaijan-Nagorno Karabakh: OSCE Minsk Process, Armenia-Azerbaijan-Nagorno Karabakh: US-led process, Armenia-Azerbaijan-Nagorno Karabakh: Process 1990s).</li></ul>",,,,,,,,,,,,,,,,,,,,51.0,Armenia,2,94,0,1,0,0,0,67,1,0,27,2,0.0,0.0,40.298507462686565,0.0,2026-03-31,1.893,165,Armenia ranked 1 out of 165 countries in the Global Peace Index (2025).,65.0,182,Armenia ranked 65 out of 182 countries in the Corruption Perception Index (2025).,,"In Armenia, there were no reported displacements in 2024 [<a href='https://data.humdata.org/dataset/idmc-internal-displacements-new-displacements-idps', target='_blank'>IDMC</a>].",,,"<ul><li>In Armenia, there were no reported displacements in 2024 [<a href='https://data.humdata.org/dataset/idmc-internal-displacements-new-displacements-idps', target='_blank'>IDMC</a>].</li></ul>","<ul><li>Armenia ranked 1 out of 165 countries in the Global Peace Index (2025).</li><li>Armenia ranked 65 out of 182 countries in the Corruption Perception Index (2025).</li><li>In Armenia, there were no reported displacements in 2024 [<a href='https://data.humdata.org/dataset/idmc-internal-displacements-new-displacements-idps', target='_blank'>IDMC</a>].</li></ul>"
