country_name,iso3c,gwno,iso_n,gwc,total_fatalities,nr_events,polygon_tooltip,from,to,length,last_update
Haiti,HTI,41.0,332.0,HAI,138,23,"There have been an estimated 138 fatalities recorded in Haiti from 23 events in the Haiti: Government conflict dyad, since December 2023. The most recent conflict event was on 29 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Mexico,MEX,70.0,484.0,MEX,7657,2357,"There have been an estimated 7657 fatalities recorded in Mexico from 2357 events in 9 conflict dyads (Jalisco Cartel New Generation, Sangre Nueva Zeta - Los Rojos, Jalisco Cartel New Generation - Sinaloa Cartel, Juarez Cartel - Sinaloa Cartel, Cartel Independiente de Acapulco - Los Rusos, UPOEG, Jalisco Cartel New Generation - Santa Rosa de Lima Cartel, Carteles Unidos - Jalisco Cartel New Generation, Caborca Cartel, Sinaloa Cartel - Los Mayos - Sinaloa Cartel - Los Chapitos, Sinaloa Cartel - Los Chapitos - Sinaloa Cartel - Los Mayos, Los Ardillos - Los Tlacos), since December 2023. The most recent conflict event was on 29 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Colombia,COL,100.0,170.0,COL,160,73,"There have been an estimated 160 fatalities recorded in Colombia from 73 events in 7 conflict dyads (Colombia: Government, AGC - Civilians, FARC - Mordisco  - Civilians, EGC - Civilians, ELN - AGC, FARC - Mordisco  - ELN, FARC-EMC - Civilians), since December 2023. The most recent conflict event was on 29 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Ecuador,ECU,130.0,218.0,ECU,15,7,"There have been an estimated 15 fatalities recorded in Ecuador from 7 events in the Los Choneros - Los Lobos conflict dyad, since December 2023. The most recent conflict event was on 19 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Brazil,BRA,140.0,76.0,BRA,1035,952,"There have been an estimated 1035 fatalities recorded in Brazil from 952 events in 14 conflict dyads (Comando Vermelho - PCC, Comando Vermelho - Civilians, Comando Vermelho - GDE, Bonde do Maluco - Comando Vermelho, Comando Vermelho - Holanda, Bonde do Maluco - Katiara, Comando Vermelho - Massa, Bonde dos 13, PCC - Comando Vermelho, Bonde dos 40 - PCC, PCC - Sindicato do Crime, GDE, PCC - Sindicato do Crime, Cartel do Norte - Comando Vermelho, Amigos Para Sempre - Família Terror Amapá, Bonde dos 40 - Comando Vermelho), since December 2023. The most recent conflict event was on 29 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Russia,RUS,365.0,643.0,RUS,1726,467,"There have been an estimated 1726 fatalities recorded in Russia (Soviet Union) from 467 events in 2 conflict dyads (Russia - Ukraine, IS - Civilians), since December 2023. The most recent conflict event was on 29 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Ukraine,UKR,369.0,804.0,UKR,54870,8019,"There have been an estimated 54870 fatalities recorded in Ukraine from 8019 events in 2 conflict dyads (Russia - Ukraine, Government of Russia (Soviet Union) - Civilians), since December 2023. The most recent conflict event was on 29 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Mali,MLI,432.0,466.0,MLI,1484,385,"There have been an estimated 1484 fatalities recorded in Mali from 385 events in 13 conflict dyads (Mali: Government, Mali: Islamic State, Government of Mali - Civilians, JNIM - Civilians, Mali: Government/Azawad, Dozos (Mali) - Civilians, Dan na Ambassagou - JNIM, IS - Civilians, Dozos (Mali) - JNIM, CSP-DPA - JNIM, Government of Mali, Government of Russia (Soviet Union) - Civilians, Government of Russia (Soviet Union) - Civilians, Niger: Islamic State), since December 2023. The most recent conflict event was on 27 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Benin,BEN,434.0,204.0,BEN,66,22,"There have been an estimated 66 fatalities recorded in Benin from 22 events in 2 conflict dyads (Benin: Government, JNIM - Civilians), since December 2023. The most recent conflict event was on 07 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Niger,NER,436.0,562.0,NIR,945,80,"There have been an estimated 945 fatalities recorded in Niger from 80 events in 6 conflict dyads (Niger: Government, IS - Civilians, JNIM - Civilians, Niger: Islamic State, Nigeria: Government, IS - JAS), since December 2023. The most recent conflict event was on 19 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Burkina Faso,BFA,439.0,854.0,BFO,3665,280,"There have been an estimated 3665 fatalities recorded in Burkina Faso from 280 events in 5 conflict dyads (Government of Burkina Faso - Civilians, Burkina Faso: Government, JNIM - Civilians, Burkina Faso: Islamic State, IS - Civilians), since December 2023. The most recent conflict event was on 25 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Togo,TGO,461.0,768.0,TOG,14,4,"There have been an estimated 14 fatalities recorded in Togo from 4 events in the JNIM - Civilians conflict dyad, since December 2023. The most recent conflict event was on 19 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
Cameroon,CMR,471.0,120.0,CAO,398,179,"There have been an estimated 398 fatalities recorded in Cameroon from 179 events in 6 conflict dyads (JAS - Civilians, Cameroon: Government, IS - Civilians, Ambazonia insurgents - Civilians, Cameroon: Ambazonia, Cameroon: Islamic State), since December 2023. The most recent conflict event was on 29 November 2024.",December 2023,November 2024,12 months,UCDP GED Candidate (November 2024)
