country_name,iso3c,gwno,iso_n,gwc,total_fatalities,nr_events,polygon_tooltip,from,to,length,last_update
Haiti,HTI,41,332.0,HAI,501,53,"There have been an estimated 501 fatalities recorded in Haiti from 53 events in 2 conflict dyads (Haiti: Government, Gran Grif - Civilians), since September 2024. The most recent conflict event was on 20 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Mexico,MEX,70,484.0,MEX,2704,2259,"There have been an estimated 2704 fatalities recorded in Mexico from 2259 events in 11 conflict dyads (Sinaloa Cartel - Los Chapitos - Sinaloa Cartel - Los Mayos, Jalisco Cartel New Generation - Santa Rosa de Lima Cartel, Juarez Cartel - Sinaloa Cartel, Jalisco Cartel New Generation - Sinaloa Cartel, Cartel Independiente de Acapulco - Los Rusos, Carteles Unidos - Michoacán Cartel New Generation, Jalisco Cartel New Generation, Sangre Nueva Zeta - Los Rojos, Carteles Unidos - Jalisco Cartel New Generation, Cartel Independiente de Acapulco - Los Rusos, UPOEG, Caborca Cartel, Sinaloa Cartel - Los Mayos - Sinaloa Cartel - Los Chapitos, Jalisco Cartel New Generation - La Barredora), since September 2024. The most recent conflict event was on 29 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Colombia,COL,100,170.0,COL,467,259,"There have been an estimated 467 fatalities recorded in Colombia from 259 events in 7 conflict dyads (Colombia: Government, EGC - Civilians, Los Costenos - Los Pepes, ELN - Civilians, FARC-EMC - FARC-EMC-Calarcá, EGC - ELN, FARC-EMC, FARC-EMC - Civilians), since September 2024. The most recent conflict event was on 23 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Ecuador,ECU,130,218.0,ECU,275,167,"There have been an estimated 275 fatalities recorded in Ecuador from 167 events in 2 conflict dyads (Los Choneros - Los Lobos, Los Tiguerones Fenix faction - Los Tiguerones Igualitos faction), since September 2024. The most recent conflict event was on 22 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Brazil,BRA,140,76.0,BRA,336,306,"There have been an estimated 336 fatalities recorded in Brazil from 306 events in 9 conflict dyads (Comando Vermelho - PCC, Bonde dos 40 - PCC, Cartel do Norte - Comando Vermelho, Bonde dos 13, PCC - Comando Vermelho, Bonde dos 40 - Comando Vermelho, GDE, PCC - Sindicato do Crime, Amigos Para Sempre - Família Terror Amapá, Comando Vermelho - GDE, PCC - Sindicato do Crime), since September 2024. The most recent conflict event was on 23 August 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Russia,RUS,365,643.0,RUS,9581,770,"There have been an estimated 9581 fatalities recorded in Russia (Soviet Union) from 770 events in 2 conflict dyads (Russia - Ukraine, Russia: Islamic State), since September 2024. The most recent conflict event was on 29 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Ukraine,UKR,369,804.0,UKR,58163,6565,"There have been an estimated 58163 fatalities recorded in Ukraine from 6565 events in 2 conflict dyads (Russia - Ukraine, Government of Russia (Soviet Union) - Civilians), since September 2024. The most recent conflict event was on 29 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Mali,MLI,432,466.0,MLI,1889,589,"There have been an estimated 1889 fatalities recorded in Mali from 589 events in 13 conflict dyads (Mali: Government, Mali: Government/Azawad, Government of Mali, Government of Russia (Soviet Union) - Civilians, JNIM - Civilians, IS - Civilians, Government of Mali - Civilians, Mali: Islamic State, Dan na Ambassagou - JNIM, Burkina Faso: Government, Government of Burkina Faso - Civilians, IS - JNIM, Dozos (Mali) - JNIM, Government of Russia (Soviet Union) - Civilians), since September 2024. The most recent conflict event was on 29 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Benin,BEN,434,204.0,BEN,28,15,"There have been an estimated 28 fatalities recorded in Benin from 15 events in 2 conflict dyads (Benin: Government, JNIM - Civilians), since September 2024. The most recent conflict event was on 21 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Niger,NER,436,562.0,NIR,1031,87,"There have been an estimated 1031 fatalities recorded in Niger from 87 events in 5 conflict dyads (Niger: Government, Niger: Islamic State, IS - Civilians, JNIM - Civilians, JAS - Civilians), since September 2024. The most recent conflict event was on 27 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Burkina Faso,BFA,439,854.0,BFO,2907,575,"There have been an estimated 2907 fatalities recorded in Burkina Faso from 575 events in 7 conflict dyads (Burkina Faso: Government, Burkina Faso: Islamic State, IS - JNIM, IS - Civilians, Government of Burkina Faso - Civilians, JNIM - Civilians, Mali: Government), since September 2024. The most recent conflict event was on 29 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Togo,TGO,461,768.0,TOG,33,5,"There have been an estimated 33 fatalities recorded in Togo from 5 events in 2 conflict dyads (Togo: Government, JNIM - Civilians), since September 2024. The most recent conflict event was on 19 November 2024.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Cameroon,CMR,471,120.0,CAO,243,114,"There have been an estimated 243 fatalities recorded in Cameroon from 114 events in 6 conflict dyads (Cameroon: Ambazonia, JAS - Civilians, IS - Civilians, Cameroon: Government, Ambazonia insurgents - Civilians, IS - JAS), since September 2024. The most recent conflict event was on 26 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Nigeria,NGA,475,566.0,NIG,2213,320,"There have been an estimated 2213 fatalities recorded in Nigeria from 320 events in 9 conflict dyads (Nigeria: Islamic State, Nigeria: Biafra, IS - Civilians, IS - JAS, JAS - Civilians, Nigeria: Government, Fulani - Tiv, Black Axe - Eyie, Fulani - Irigwe), since September 2024. The most recent conflict event was on 29 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Central African Republic,CAF,482,140.0,CEN,161,28,"There have been an estimated 161 fatalities recorded in Central African Republic from 28 events in 5 conflict dyads (Government of Russia (Soviet Union) - Civilians, Central African Republic: Government, Government of Central African Republic - Civilians, AAKG - Civilians, CPC - Civilians), since September 2024. The most recent conflict event was on 27 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Chad,TCD,483,148.0,CHA,190,10,"There have been an estimated 190 fatalities recorded in Chad from 10 events in 3 conflict dyads (JAS - Civilians, Nigeria: Government, Farmers (Chad) - Herders (Chad)), since September 2024. The most recent conflict event was on 07 March 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
"Congo, Democratic Republic of the",COD,490,180.0,DRC,12788,650,"There have been an estimated 12788 fatalities recorded in DR Congo (Zaire) from 650 events in 14 conflict dyads (IS - Civilians, AFC - Civilians, URDPC - Civilians, AFC - VDP, DR Congo (Zaire): Government, Mobondo - Civilians, VDP - Civilians, Government of DR Congo (Zaire) - Civilians, Zaire self-defense group - Civilians, DR Congo (Zaire): Islamic State, CPC - Civilians, Burundi: Government, URDPC - Zaire self-defense group, FDLR-FOCA - Civilians), since September 2024. The most recent conflict event was on 29 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Kenya,KEN,501,404.0,KEN,81,22,"There have been an estimated 81 fatalities recorded in Kenya from 22 events in 3 conflict dyads (Kenya: Northeastern Province and Coast, Dassanetch - Turkana, Somalia: Government), since September 2024. The most recent conflict event was on 04 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Burundi,BDI,516,108.0,BUI,69,52,"There have been an estimated 69 fatalities recorded in Burundi from 52 events in the Government of Burundi - Civilians conflict dyad, since September 2024. The most recent conflict event was on 10 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Rwanda,RWA,517,646.0,RWA,17,2,"There have been an estimated 17 fatalities recorded in Rwanda from 2 events in 2 conflict dyads (DR Congo (Zaire): Government, Government of DR Congo (Zaire) - Civilians), since September 2024. The most recent conflict event was on 31 January 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Somalia,SOM,520,706.0,SOM,3624,279,"There have been an estimated 3624 fatalities recorded in Somalia from 279 events in 4 conflict dyads (Somalia: Islamic State, Somalia: Government, Government of Somalia : Jubaland State of Somalia, Al-Shabaab - Civilians), since September 2024. The most recent conflict event was on 28 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Ethiopia,ETH,530,231.0,ETH,2894,1184,"There have been an estimated 2894 fatalities recorded in Ethiopia from 1184 events in 6 conflict dyads (Ethiopia: Government/Amhara, Government of Ethiopia - Civilians, Ethiopia: Oromiya, Fano - Civilians, OLA - Civilians, Dassanetch - Turkana), since September 2024. The most recent conflict event was on 29 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Mozambique,MOZ,541,508.0,MZM,703,229,"There have been an estimated 703 fatalities recorded in Mozambique from 229 events in 5 conflict dyads (Government of Mozambique - Civilians, IS - Civilians, Mozambique: Islamic State, Mozambique: Government, IS - Naparama), since September 2024. The most recent conflict event was on 28 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Sudan,SDN,625,729.0,SUD,10346,659,"There have been an estimated 10346 fatalities recorded in Sudan from 659 events in 3 conflict dyads (Sudan: Government, RSF - Civilians, Government of Sudan - Civilians), since September 2024. The most recent conflict event was on 28 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
South Sudan,SSD,626,728.0,SSD,109,8,"There have been an estimated 109 fatalities recorded in South Sudan from 8 events in 2 conflict dyads (South Sudan: Government, Bor Dinka - Acholi, Murle), since September 2024. The most recent conflict event was on 25 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Iran,IRN,630,364.0,IRN,1287,60,"There have been an estimated 1287 fatalities recorded in Iran from 60 events in 2 conflict dyads (Iran: Government, Iran - Israel), since September 2024. The most recent conflict event was on 16 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Iraq,IRQ,645,368.0,IRQ,238,152,"There have been an estimated 238 fatalities recorded in Iraq from 152 events in 3 conflict dyads (Iraq: Government, Turkey: Kurdistan, IS - Civilians), since September 2024. The most recent conflict event was on 21 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Syria,SYR,652,760.0,SYR,7093,612,"There have been an estimated 7093 fatalities recorded in Syria from 612 events in 12 conflict dyads (Syria: Government, IS - SDF, Israel - Syria, Government of Syria - Civilians, IS - Civilians, SNA - SDF, Syria: Islamic State, Iran - Israel, Syria: Government/Rojava Kurdistan, Israel: Southern Lebanon, Israel: Palestine, Government of Israel - Civilians), since September 2024. The most recent conflict event was on 28 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Lebanon,LBN,660,422.0,LEB,2970,880,"There have been an estimated 2970 fatalities recorded in Lebanon from 880 events in 2 conflict dyads (Israel: Southern Lebanon, Israel: Palestine), since September 2024. The most recent conflict event was on 29 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Israel,ISR,666,376.0,ISR,19781,3526,"There have been an estimated 19781 fatalities recorded in Israel from 3526 events in 4 conflict dyads (Israel: Palestine, Government of Israel - Civilians, Iran - Israel, Israel: Southern Lebanon), since September 2024. The most recent conflict event was on 29 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Saudi Arabia,SAU,670,682.0,SAU,5,1,"There have been an estimated 5 fatalities recorded in Saudi Arabia from 1 events in the Yemen (North Yemen): Government conflict dyad, since September 2024. The most recent conflict event was on 10 March 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Yemen,YEM,678,887.0,YEM,1404,291,"There have been an estimated 1404 fatalities recorded in Yemen (North Yemen) from 291 events in 7 conflict dyads (Yemen (North Yemen): Government, Government of Yemen (North Yemen) - Civilians, United Kingdom, United States of America - Yemen, Israel - Yemen, AQAP - Forces of the Presidential Leadership Council, Australia, Bahrain, Canada, France, Italy, Netherlands, New Zeeland, Norway, Spain, United Kingdom, United States of America - Yemen, Israel: Palestine), since September 2024. The most recent conflict event was on 28 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Qatar,QAT,694,634.0,QAT,6,1,"There have been an estimated 6 fatalities recorded in Qatar from 1 events in the Israel: Palestine conflict dyad, since September 2024. The most recent conflict event was on 09 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
Afghanistan,AFG,700,4.0,AFG,214,66,"There have been an estimated 214 fatalities recorded in Afghanistan from 66 events in 6 conflict dyads (Afghanistan: Islamic State, Afghanistan: Government, Pakistan: Government, IS - Civilians, Government of Afghanistan - Civilians, Afghanistan - Pakistan), since September 2024. The most recent conflict event was on 27 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
India,IND,750,356.0,IND,592,189,"There have been an estimated 592 fatalities recorded in India from 189 events in 4 conflict dyads (CPI-Maoist - Civilians, India: Government, India: Kashmir, Kashmir insurgents - Civilians), since September 2024. The most recent conflict event was on 27 September 2025.",September 2024,September 2025,12 months,UCDP GED Candidate (September 2025)
