country_name,iso3c,gwno,iso_n,gwc,total_fatalities,nr_events,polygon_tooltip,from,to,length,last_update
Haiti,HTI,41.0,332.0,HAI,424,39,"There have been an estimated 424 fatalities recorded in Haiti from 39 events in 3 conflict dyads (Haiti: Government, 103 Zombie - Civilians, Gran Grif - Civilians), since May 2024. The most recent conflict event was on 05 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Mexico,MEX,70.0,484.0,MEX,3196,2433,"There have been an estimated 3196 fatalities recorded in Mexico from 2433 events in 11 conflict dyads (Sinaloa Cartel - Los Chapitos - Sinaloa Cartel - Los Mayos, Jalisco Cartel New Generation - Sinaloa Cartel, Juarez Cartel - Sinaloa Cartel, Cartel Independiente de Acapulco - Los Rusos, Jalisco Cartel New Generation - Santa Rosa de Lima Cartel, Carteles Unidos - Michoacán Cartel New Generation, Jalisco Cartel New Generation, Sangre Nueva Zeta - Los Rojos, Carteles Unidos - Jalisco Cartel New Generation, Cartel Independiente de Acapulco - Los Rusos, UPOEG, Los Ardillos - Los Tlacos, Caborca Cartel, Sinaloa Cartel - Los Mayos - Sinaloa Cartel - Los Chapitos), since May 2024. The most recent conflict event was on 30 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Guatemala,GTM,90.0,320.0,GUA,14,7,"There have been an estimated 14 fatalities recorded in Guatemala from 7 events in the M18 (Guatemala) - Civilians conflict dyad, since May 2024. The most recent conflict event was on 07 August 2024.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Colombia,COL,100.0,170.0,COL,307,172,"There have been an estimated 307 fatalities recorded in Colombia from 172 events in 5 conflict dyads (Colombia: Government, FARC-EMC - FARC-EMC-Calarcá, EGC - Civilians, FARC-EMC - Civilians, EGC - ELN, FARC-EMC), since May 2024. The most recent conflict event was on 27 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Ecuador,ECU,130.0,218.0,ECU,189,94,"There have been an estimated 189 fatalities recorded in Ecuador from 94 events in 2 conflict dyads (Los Tiguerones Fenix faction - Los Tiguerones Igualitos faction, Los Choneros - Los Lobos), since May 2024. The most recent conflict event was on 06 March 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Brazil,BRA,140.0,76.0,BRA,701,633,"There have been an estimated 701 fatalities recorded in Brazil from 633 events in 9 conflict dyads (Bonde dos 40 - PCC, Cartel do Norte - Comando Vermelho, Comando Vermelho - PCC, PCC - Sindicato do Crime, GDE, PCC - Sindicato do Crime, Amigos Para Sempre - Família Terror Amapá, Bonde dos 13, PCC - Comando Vermelho, Bonde dos 40 - Comando Vermelho, Comando Vermelho - GDE), since May 2024. The most recent conflict event was on 30 March 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Russia,RUS,365.0,643.0,RUS,10185,911,"There have been an estimated 10185 fatalities recorded in Russia (Soviet Union) from 911 events in 3 conflict dyads (Russia - Ukraine, Russia: Islamic State, IS - Civilians), since May 2024. The most recent conflict event was on 30 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Ukraine,UKR,369.0,804.0,UKR,53179,6778,"There have been an estimated 53179 fatalities recorded in Ukraine from 6778 events in 2 conflict dyads (Russia - Ukraine, Government of Russia (Soviet Union) - Civilians), since May 2024. The most recent conflict event was on 30 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Mali,MLI,432.0,466.0,MLI,1614,472,"There have been an estimated 1614 fatalities recorded in Mali from 472 events in 12 conflict dyads (Mali: Government, IS - Civilians, JNIM - Civilians, Mali: Islamic State, Government of Mali, Government of Russia (Soviet Union) - Civilians, Dan na Ambassagou - JNIM, Government of Burkina Faso - Civilians, IS - JNIM, Government of Mali - Civilians, Mali: Government/Azawad, Dozos (Mali) - JNIM, Government of Russia (Soviet Union) - Civilians), since May 2024. The most recent conflict event was on 30 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Benin,BEN,434.0,204.0,BEN,47,14,"There have been an estimated 47 fatalities recorded in Benin from 14 events in 2 conflict dyads (Benin: Government, JNIM - Civilians), since May 2024. The most recent conflict event was on 06 February 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Niger,NER,436.0,562.0,NIR,967,69,"There have been an estimated 967 fatalities recorded in Niger from 69 events in 5 conflict dyads (Niger: Islamic State, IS - Civilians, Niger: Government, JNIM - Civilians, JAS - Civilians), since May 2024. The most recent conflict event was on 25 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Burkina Faso,BFA,439.0,854.0,BFO,3256,423,"There have been an estimated 3256 fatalities recorded in Burkina Faso from 423 events in 7 conflict dyads (Burkina Faso: Government, IS - Civilians, JNIM - Civilians, Government of Burkina Faso - Civilians, Mali: Government, Burkina Faso: Islamic State, IS - JNIM), since May 2024. The most recent conflict event was on 30 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Togo,TGO,461.0,768.0,TOG,61,12,"There have been an estimated 61 fatalities recorded in Togo from 12 events in 2 conflict dyads (Togo: Government, JNIM - Civilians), since May 2024. The most recent conflict event was on 19 November 2024.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Cameroon,CMR,471.0,120.0,CAO,227,119,"There have been an estimated 227 fatalities recorded in Cameroon from 119 events in 6 conflict dyads (JAS - Civilians, Cameroon: Ambazonia, Ambazonia insurgents - Civilians, Cameroon: Government, IS - JAS, IS - Civilians), since May 2024. The most recent conflict event was on 28 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Nigeria,NGA,475.0,566.0,NIG,2311,317,"There have been an estimated 2311 fatalities recorded in Nigeria from 317 events in 10 conflict dyads (Nigeria: Islamic State, IS - Civilians, JAS - Civilians, IS - JAS, Nigeria: Government, Fulani - Tiv, Nigeria: Biafra, Fulani - Irigwe, Black Axe - Eyie, Agatu - Fulani), since May 2024. The most recent conflict event was on 30 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Central African Republic,CAF,482.0,140.0,CEN,298,58,"There have been an estimated 298 fatalities recorded in Central African Republic from 58 events in 5 conflict dyads (Central African Republic: Government, Government of Central African Republic - Civilians, CPC - Civilians, AAKG - CPC, AAKG - Civilians), since May 2024. The most recent conflict event was on 07 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Chad,TCD,483.0,148.0,CHA,203,15,"There have been an estimated 203 fatalities recorded in Chad from 15 events in 3 conflict dyads (JAS - Civilians, Farmers (Chad) - Herders (Chad), Nigeria: Government), since May 2024. The most recent conflict event was on 07 March 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
"Congo, Democratic Republic of the",COD,490.0,180.0,DRC,12419,634,"There have been an estimated 12419 fatalities recorded in DR Congo (Zaire) from 634 events in 16 conflict dyads (AFC - VDP, AFC - Civilians, DR Congo (Zaire): Government, URDPC - Civilians, Government of DR Congo (Zaire) - Civilians, IS - Civilians, VDP - Civilians, Zaire self-defense group - Civilians, UPLD - Civilians, URDPC - Zaire self-defense group, Mobondo - Civilians, DR Congo (Zaire): Islamic State, Lengola - Mbole, CPC - Civilians, FDLR-FOCA - Civilians, Burundi: Government), since May 2024. The most recent conflict event was on 30 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Kenya,KEN,501.0,404.0,KEN,72,17,"There have been an estimated 72 fatalities recorded in Kenya from 17 events in 4 conflict dyads (Kenya: Northeastern Province and Coast, Dassanetch - Turkana, Al-Shabaab - Civilians, Somalia: Government), since May 2024. The most recent conflict event was on 15 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Burundi,BDI,516.0,108.0,BUI,39,32,"There have been an estimated 39 fatalities recorded in Burundi from 32 events in 2 conflict dyads (Government of Burundi - Civilians, Burundi: Government), since May 2024. The most recent conflict event was on 27 May 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
Rwanda,RWA,517.0,646.0,RWA,16,1,"There have been an estimated 16 fatalities recorded in Rwanda from 1 events in the DR Congo (Zaire): Government conflict dyad, since May 2024. The most recent conflict event was on 27 January 2025.",May 2024,May 2025,12 months,UCDP GED Candidate (May 2025)
