Con,Contp,PP,PPName,Reg,AgtId,Ver,Agt,Dat,Status,Lgt,N_characters,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,Loc1GWNO,Loc2GWNO,UcdpCon,UcdpAgr,PamAgr,CowWar,Interim,PT_FSP,PT_ISP,PT_IPP,PT_UTE,LinkNatProcess,LocaleName,LocaleNat,LatDec,LongDec,Mediator,MedCentState,MedRegState,MedLocState,MedLocArmed,MedReDomEld,MedLocCivSoc,MedIntActor,MedOtherUnclear,CentState,RegState,LocState,LocArmedGr,ReDomEld,LocComSoc,IntActor,OthActor,RitPray,Grieve,Cattle,Cover,agt_dat,year,stage_label,description,PAX_Hyperlink,PDF_Hyperlink,PAX_Local_Hyperlink,local_search
Croatia/Yugoslavia (former),Government/territory,127,Croatia negotiation process,Europe and Eurasia,1451,1,Agreement between the JNA and the Representatives of Ilok,1991-10-14,Multiparty signed/agreed,2.0,3886,IntraLocal,Cea,Ceas,"Military Commands of the unit JNA (illegible) which is represented by Major General Dragoljub Aranđelović; the authorised representatives of the towns of Ilok, Šarengrad, (illegible) that are represented by Ivan Mrkšić, the mayor of Ilok; Mate Brletic, the commander of the police department in Ilok, Stipan Kraljević; the president of the commission for negotiations and others (illegible)",With the presence of the representatives of the Mission of the European Community Hugh Cunningham and Petr Kypr,,HRV,,344,,390.0,,,864.0,No,0,1,0,0,N,Ilok,City,45.22,19.37,Y,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,Agreement between the JNA and the Representatives of Ilok (1991-10-14),1991,Ceasefire,"This provides for a ceasefire whilst citizens of Ilok and Sarengrad leave the area, subject to handing over their weapons to the JNA. The JNA commits to ensuring the safety of the refugee convoy, and of citizens who choose to stay.",https://pax.peaceagreements.org/agreements/1451/,https://pax.peaceagreements.org/media/documents/ag1451_56f16e9971f32.pdf,https://pax.peaceagreements.org/agreements/local/1451,https://pax.peaceagreements.org/agreements/lsearchadv/results?name=&signed_after=&signed_before=&process_link=include_all&match_any_participant=True&locale_name=&mediator_status=include_all&match_any_mediator=True&match_any_issues=True&text=&process=127&search_type=advanced-local
Croatia/Yugoslavia (former),Government/territory,127,Croatia negotiation process,Europe and Eurasia,1651,1,Agreement on the General Protocol between the Representatives of the JNA and the Dubrovnik Municipality,1991-11-19,Multiparty signed/agreed,1.0,1143,IntraLocal,Pre,Conf,Representatives of the JNA and the Dubrovnik Municipality,Representatives of the European Community,,HRV,,344,,390.0,,,864.0,No,0,1,0,0,N,Dubrovnik,City,42.65,18.09,Y,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,Agreement on the General Protocol between the Representatives of the JNA and the Dubrovnik Municipality (1991-11-19),1991,Pre-negotiation,"This short agreement provides for retreat of forces from the front lines in the Dubrovnik area, to be supervised by European Community monitors.",https://pax.peaceagreements.org/agreements/1651/,https://pax.peaceagreements.org/media/documents/ag1651_577f973cda5f0.pdf,https://pax.peaceagreements.org/agreements/local/1651,https://pax.peaceagreements.org/agreements/lsearchadv/results?name=&signed_after=&signed_before=&process_link=include_all&match_any_participant=True&locale_name=&mediator_status=include_all&match_any_mediator=True&match_any_issues=True&text=&process=127&search_type=advanced-local
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,125,Bosnia peace process,Europe and Eurasia,1587,1,Protocol (Ilidza Ceasefire),1992-04-23,Multiparty signed/agreed,1.0,564,IntraLocal,Cea,Ceas,"SDS Representative, Nedjeljko PRSTOJEVIC; SDA Representative, [Sefer] HALILOVIC","European Community representative, T.W. MICHELS",,BIH,,346,,389.0,,,215.0,No,0,1,0,0,Y,Ilidza,Smaller,43.827023,18.304901,Y,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,Protocol (Ilidza Ceasefire) (1992-04-23),1992,Ceasefire,This short ceasefire agreement guarantees that there will be no military operations until 2400 hours on 24 April 1992.,https://pax.peaceagreements.org/agreements/1587/,https://pax.peaceagreements.org/media/documents/ag1587_5731bb680ba6d.pdf,https://pax.peaceagreements.org/agreements/local/1587,https://pax.peaceagreements.org/agreements/lsearchadv/results?name=&signed_after=&signed_before=&process_link=include_all&match_any_participant=True&locale_name=&mediator_status=include_all&match_any_mediator=True&match_any_issues=True&text=&process=125&search_type=advanced-local
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,128,Bosnia Local peace processes,Europe and Eurasia,1608,1,Protocol,1992-08-08,Multiparty signed/agreed,3.0,2431,IntraLocal,Pre,Conf,"HVO representatives: 1. Josip BORO 2. Marko FRANKOVIC 3. Vinko ANTUNOVIC 4. Josip KRISTIC
Representatives of the Muslim people: Ejob Mujic [did not sign], Senaid DURAKOVIC",For the BH Presidency: Franjo BORAS,"Page 1, III.
During further talks, both sides will in a civilised and peaceful manner and in the spirit of the Agreement on Friendship and Cooperation signed by the republics of Croatia and Bosnia and Herzegovina in Zagreb on 21 July 1992...",BIH,,346,,389.0,,,215.0,No,0,1,0,0,Y,Kiseljak,Region,43.94304,18.07739,N,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Protocol (1992-08-08),1992,Pre-negotiation,"This short agreement provides for further talks between the HVO and units of the Kiseljak Territorial Defence. It provides for a mutual suspension of hostilities, and the parties agree to remove barricades across the municipality.",https://pax.peaceagreements.org/agreements/1608/,https://pax.peaceagreements.org/media/documents/ag1608_5744834a60d18.pdf,https://pax.peaceagreements.org/agreements/local/1608,https://pax.peaceagreements.org/agreements/lsearchadv/results?name=&signed_after=&signed_before=&process_link=include_all&match_any_participant=True&locale_name=&mediator_status=include_all&match_any_mediator=True&match_any_issues=True&text=&process=128&search_type=advanced-local
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,125,Bosnia peace process,Europe and Eurasia,1611,1,Announcement (Ceasefire for Vitez municipality),1992-10-22,Multiparty signed/agreed,2.0,1774,IntraLocal,Cea,Ceas,"Mr. Anders Levinsen, UNHCR; Captain Saimon Elis, UNPROFOR - U.K.; Friar Ante Tomas; Mr. Omer efendija Mestrovac; Mr. Sefkija Djidic, Armed Forces of Vitez; Mr. Sulejman Kalco, Armed Forces of Vitez; Mr. Pero Skopljak, HVO; Mr. Ivan Santic, HVO; Mr. Mario Cerkez, the HVO Headquarters",,,BIH,,346,,398.0,,,215.0,No,0,1,0,0,N,Vitez,Region,44.150272,17.790591,Y,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,Announcement (Ceasefire for Vitez municipality) (1992-10-22),1992,Ceasefire,"This short agreement provides for the removal of barricades in the municipality of Vitez, removal of heavy weapons, and release of prisoners from the motel 'Lovac' and the Armed Forces captured by the HVO.",https://pax.peaceagreements.org/agreements/1611/,https://pax.peaceagreements.org/media/documents/ag1611_57448ca629665.pdf,https://pax.peaceagreements.org/agreements/local/1611,https://pax.peaceagreements.org/agreements/lsearchadv/results?name=&signed_after=&signed_before=&process_link=include_all&match_any_participant=True&locale_name=&mediator_status=include_all&match_any_mediator=True&match_any_issues=True&text=&process=125&search_type=advanced-local
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,128,Bosnia Local peace processes,Europe and Eurasia,1612,1,"Agreement between the HVO Santici and representatives of the Muslim people of Ahmici, concluded at the home of Nenad Santic on 22 October 1992",1992-10-22,Multiparty signed/agreed,1.0,1022,IntraLocal,Pre,Conf,For the HVO [signatures illegible]; For the Muslim People [signatures illegible],,,BIH,,346,,398.0,,,215.0,No,0,1,0,0,N,Ahmici,Smaller,44.145364,17.841235,N,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"Agreement between the HVO Santici and representatives of the Muslim people of Ahmici, concluded at the home of Nenad Santic on 22 October 1992 (1992-10-22)",1992,Pre-negotiation,"In this short agreement, the Muslim inhabitants of Ahmici agree to surrender weapons to the HVO-Santici, under the guarantee of safety and that the HVO will form a mixed Muslim-Croat unit. The agreement also provides for the safe return of Muslim and Croatian refugees.",https://pax.peaceagreements.org/agreements/1612/,https://pax.peaceagreements.org/media/documents/ag1612_57471aa56d333.PDF,https://pax.peaceagreements.org/agreements/local/1612,https://pax.peaceagreements.org/agreements/lsearchadv/results?name=&signed_after=&signed_before=&process_link=include_all&match_any_participant=True&locale_name=&mediator_status=include_all&match_any_mediator=True&match_any_issues=True&text=&process=128&search_type=advanced-local
Croatia/Yugoslavia (former),Government/territory,127,Croatia negotiation process,Europe and Eurasia,1460,1,Daruvar Agreement,1993-03-18,Multiparty signed/agreed,2.0,2287,IntraLocal,Imp,ImpMod,"Veljko Dzakula; Dusan Ecimovic; Milan Vlaisavljevic; Mladen Kulic; Djorde Lovric; Milan Radakovic; Zlatko Kos; Zdravko Sokic; Ivan Volf; Vladimir Delac, Zelimir Milnar","UNPROFOR Representatives (illegible signatures, no names given in agreement transcript).",,HRV,,344,,390.0,,,864.0,No,0,1,0,0,N,"Region comprised of Daruvar, Grubisno Polje, Nova Gradiska, Novska, and Pakrac",Region,45.44,17.19,Y,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,Daruvar Agreement (1993-03-18),1993,Implementation,"This agreement lists the actions which will be taken by local representatives and UNPROFOR in the former municipalities in United Nations Protected Area Sector West, mostly regarding socio-economic reconstruction and restoration of mobility for civilians.",https://pax.peaceagreements.org/agreements/1460/,https://pax.peaceagreements.org/media/documents/ag1460_5e1de72f10cd6.pdf,https://pax.peaceagreements.org/agreements/local/1460,https://pax.peaceagreements.org/agreements/lsearchadv/results?name=&signed_after=&signed_before=&process_link=include_all&match_any_participant=True&locale_name=&mediator_status=include_all&match_any_mediator=True&match_any_issues=True&text=&process=127&search_type=advanced-local
Somalia/(Puntland),Inter-group,87,Somalia Peace Process,Africa (excl MENA),1710,1,"Conciliation and Peace Conference of the Regions of Bari Nugal and Mudug, SNA, SNDU, SSDF Peace Agreement (Mudug Peace Agreement)",1993-06-04,Multiparty signed/agreed,2.0,4550,IntraLocal,SubPar,MultIss,"Signature of Somali Salvation Democratic Front delegate;
Signature of Somali National Alliance delegate;
Signature of Somali National Democratic Union delegate;",,Peace Agreements signed in Addis Ababa by the Somali factions on January 15th and March 27th 1993; Addis Ababa Agreements of January 15th and March 27th 1993.,SOM,,520,,,,,,No,0,0,1,0,Y,Bari - Nugal - Mudug regions in north-central Somalia,Region,6.779921,47.428301,N,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,"Conciliation and Peace Conference of the Regions of Bari Nugal and Mudug, SNA, SNDU, SSDF Peace Agreement (Mudug Peace Agreement) (1993-06-04)",1993,"Framework-substantive, partial","Short agreement between three militias for peace in Mudug, emphasizing past provision for property return, compensation, the disengagement of forces and the creation of a military committee to oversee the various aspects of DDR, past provisions and reconstruction.",https://pax.peaceagreements.org/agreements/1710/,https://pax.peaceagreements.org/media/documents/ag1710_57b189008ba74.pdf,https://pax.peaceagreements.org/agreements/local/1710,https://pax.peaceagreements.org/agreements/lsearchadv/results?name=&signed_after=&signed_before=&process_link=include_all&match_any_participant=True&locale_name=&mediator_status=include_all&match_any_mediator=True&match_any_issues=True&text=&process=87&search_type=advanced-local
Kenya,Inter-group,140,Kenya Local Agreements,Africa (excl MENA),1916,2,Al-Fatah Peace Declaration,1993-09-29,Multiparty signed/agreed,2.0,5341,IntraLocal,SubPar,MultIss,"Find appended a list of signatories to the declaration.
CC.
District Commissioner,
Wajir
Provincial Commissioner,
North Eastern Province,
Garissa
Permanent Secretary in the Office of the
President -In charge of Internal Security
United Nations -UNICEF & WFP
GTZ
All NGOs
All MPs -Northern Kenya Parliamentary Group
The Mass Media",,,KEN,,501,,,,,,No,0,0,1,0,N,Wajir,Region,1.750391,40.057224,Y,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,Al-Fatah Peace Declaration (1993-09-29),1993,"Framework-substantive, partial","Agreement between major clans in the Wajir district to bring inter-clan fighting, and banditry to an end.",https://pax.peaceagreements.org/agreements/1916/,https://pax.peaceagreements.org/media/documents/ag1916_5b367169b65de.pdf,https://pax.peaceagreements.org/agreements/local/1916,https://pax.peaceagreements.org/agreements/lsearchadv/results?name=&signed_after=&signed_before=&process_link=include_all&match_any_participant=True&locale_name=&mediator_status=include_all&match_any_mediator=True&match_any_issues=True&text=&process=140&search_type=advanced-local
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,128,Bosnia Local peace processes,Europe and Eurasia,1569,1,Joint Statement,1993-10-21,Multiparty signed/agreed,2.0,2524,IntraLocal,Cea,Ceas,President of the Croatian Republic of Herceg Bosnia Mate Boban; President of the AP Western Bosnia Fikret Abdic,,"Page 1, Untitled Preamble
Accepting the principles of the London conference and taking into consideration provisions for the constitution of the future Union of Bosnia and Herzegovina, put forward by,the Geneva Peace Conference;

Page 1, 2. 
Changes in the B&H Presidency by a faction of the Presidency led by Alija Izetbegovic we consider un-constitutional and illegal because a member can be dismissed from the Presidency only if he hands in his resignation or if he has been revoked by his constituency. That act, which runs contrary to the Geneva agreement and the arrangements for the establishment of friendship and cooperation between the Croats and the Muslims in Bosnia and Herzegovina, brought an end to the last remaining democratically elected institution in B&H.",BIH,,346,,397.0,,,215.0,No,0,0,1,0,N,Western Bosnia,Region,44.812905,15.870652,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Joint Statement (1993-10-21),1993,Ceasefire,"This short statement provides for a ceasefire between the Croatian Defence Council (HVO) and the armed forces of the Autonomous Province of Western Bosnia, and announces the cooperation of the the Autonomous Province of Western Bosnia and the Croatian Republic of Herceg Bosnia.",https://pax.peaceagreements.org/agreements/1569/,https://pax.peaceagreements.org/media/documents/ag1569_570b84f8c8f60.pdf,https://pax.peaceagreements.org/agreements/local/1569,https://pax.peaceagreements.org/agreements/lsearchadv/results?name=&signed_after=&signed_before=&process_link=include_all&match_any_participant=True&locale_name=&mediator_status=include_all&match_any_mediator=True&match_any_issues=True&text=&process=128&search_type=advanced-local
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,128,Bosnia Local peace processes,Europe and Eurasia,1297,1,Declaration,1993-10-22,Multiparty signed/agreed,3.0,4879,IntraLocal,Imp,ImpMod,PRESIDENT OF THE REPUBLIC OF SRPSKA Dr Radovan Karadzic; PRESIDENT OF THE AUTONOMOUS PROVINCE OF WESTERN BOSNIA OF THE REPUBLIC OF BOSNIA Fikret Abdic,"Witness to the agreement achieved, and assuming the obligation to mediate in the case of difficulties arising in its implementation: PRESIDENT OF THE REPUBLIC OF SERBIA Slobodan Milosevic","Page 1, 1. 
The Republic of Srpska recognizes the existence, the will of the people, and the legal authority of the Autonomous Province of Western Bosnia of the Republic of Bosnia, one of the three constituent Republics of the Union of Bosnia and Herzegovina, as defined by the Owen and Stoltenberg Peace Plan.

Page 1, 2. 
The Autonomous Province of Western Bosnia of the Republic of Bosnia recognizes the existence, the will of the people, and the legal authority of the Republic of Srpska, one of the three constituent Republics of the Union of Bosnia and Herzegovina, as defined by the Owen and Stoltenberg Peace Plan.

Page 2, 6. 
All fundamental freedoms and human rights, as provided for by the relevant international legal instruments shall be mutually guaranteed, in accordance with the Owen and Stoltenberg Peace Plan.",BIH,,346,,397.0,,,215.0,No,0,0,1,0,N,Western Bosnia,Region,44.812905,15.870652,Y,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,Declaration (1993-10-22),1993,Implementation,"This short agreement provides for mutual recognition between the Autonomous Province of Western Bosnia and Republika Srpska. It also guarantees all fundamental freedoms and human rights, in accordance with the Owen-Stoltenberg Peace Plan.",https://pax.peaceagreements.org/agreements/1297/,https://pax.peaceagreements.org/media/documents/ag1297_570b9735a0f6f.pdf,https://pax.peaceagreements.org/agreements/local/1297,https://pax.peaceagreements.org/agreements/lsearchadv/results?name=&signed_after=&signed_before=&process_link=include_all&match_any_participant=True&locale_name=&mediator_status=include_all&match_any_mediator=True&match_any_issues=True&text=&process=128&search_type=advanced-local
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,125,Bosnia peace process,Europe and Eurasia,1850,1,Agreement,1994-03-04,Multiparty signed/agreed,1.0,347,IntraLocal,Pre,PreOth,"On behalf of BiH [see PDF for signature]
On behalf of HR HB [see PDF for signature]","Witness, UNPROFOR [unsigned]",,BIH,,346,,398.0,,,215.0,No,0,0,0,1,N,Left bank of Mostar,Smaller,43.340005,17.814459,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Agreement (1994-03-04),1994,Pre-negotiation,Short agreement provides for evacuation of 19 sick and elderly people from the left bank of Mostar on 10 March 1994.,https://pax.peaceagreements.org/agreements/1850/,https://pax.peaceagreements.org/media/documents/ag1850_595d0036db11c.pdf,https://pax.peaceagreements.org/agreements/local/1850,https://pax.peaceagreements.org/agreements/lsearchadv/results?name=&signed_after=&signed_before=&process_link=include_all&match_any_participant=True&locale_name=&mediator_status=include_all&match_any_mediator=True&match_any_issues=True&text=&process=125&search_type=advanced-local
Bosnia and Herzegovina/Yugoslavia (former),Government/territory,128,Bosnia Local peace processes,Europe and Eurasia,1644,1,Agreement on the disarmament of the able-bodied population in the Zepa enclave,1995-07-24,Multiparty signed/agreed,1.0,2698,IntraLocal,Cea,Rel,Rajko KUSIC; Hamdija TORLAK,"UNPROFOR representative Semjon DUDNJIK 
Certified by Colonel General Ratko MLADIC",,BIH,,346,,389.0,,,215.0,No,0,1,0,0,Y,Zepa,Smaller,43.953946,19.132594,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,Agreement on the disarmament of the able-bodied population in the Zepa enclave (1995-07-24),1995,Ceasefire,"This surrender agreement provides for the forcible removal of the civilian population from the former UN safe area of Zepa, and the holding of civilians until military prisoners are released, all to be facillitated by the ICRC, UNPROFOR, UNHCR and other humanitarian organisations, in accordance with the Geneva Conventions.",https://pax.peaceagreements.org/agreements/1644/,https://pax.peaceagreements.org/media/documents/ag1644_575946a3b1a09.pdf,https://pax.peaceagreements.org/agreements/local/1644,https://pax.peaceagreements.org/agreements/lsearchadv/results?name=&signed_after=&signed_before=&process_link=include_all&match_any_participant=True&locale_name=&mediator_status=include_all&match_any_mediator=True&match_any_issues=True&text=&process=128&search_type=advanced-local
