Peace process ID,Peace process name,iso,c_bell,c_bell_notes,l_wise,l_wise1,w_xia,w_xianotes,r_wilson,r_wilson_notes,j_pospisil,j_pospisil_notes
1,Afghanistan: 1990s Taliban process,AFG,5,,,,,,,,,
2,Afghanistan: 2000s Post-intervention process,AFG,5,,,,,,,,,
3,Algeria: Bouteflika Process,DZA,5,? Or 4 - successful,,,,,,,,
4,Angola: UNITA process,AGO,5,,,,,,,,,
5,Cote D'Ivoire: peace process,CIV,,Check,,,,,,,,
6,African Great Lakes: Regional Process,,2,"is it still framework, check chaloka",,,,,,,,
7,Argentina-UK: Falklands process,ARG,5,,,,,,,,,
8,Armenia-Azerbaijan-Nagorno Karabakh: Process 1990s,AZE,4,,,,,,,,,
9,Bougainville: peace process,PNG,2,implementaiton of referendum still playingo ut.,,,,,,,,
10,Bahrain: Reform-based peace process,BHR,4,"Perhaps check, but no real sense of process in play, borderline 5, but no real implementation",,,,,,,,
11,Bangladesh-Chittagong Hills Tracts: peace process,BGD,4,successful,,,,,,,,
13,CAR: Bangui process,CAF,,check,,,,,,,,
14,CAR: coups and rebellions process,CAF,,check,,,,,,,,
15,Comoros-Anjouan islands peace process,COM,4,Successful,,,,,,,,
16,Burundi: Arusha and related peace process,BDI,2?,"2 or possibly 5, in that any new process would probalby be a new one, meaning that this process has ended.  Power-sharing has collapsed, due to election boycott by opposition and authoritarianism and extension of term limits in play.",,,,,,,,
17,Cambodian peace process,KHM,4,"Successful, perhaps check nothing like TJ still playing out",,,,,,,,
18,Cameroon-Nigeria border peace process,CMR,,check,,,,,,,,
19,Russia-China-Central Asian borders interstate process,CHN,,check,,,,,,,,
20,Djibouti: FRUD process,DJI,,check,,,,,,,,
21,Darfur-Sudan peace process,SDN,4,"tricky - the process that have here is over.  I think this is right, as Juba is a different process]",,,,,,,5,process is dead through the war
22,Chad: 'third war' process,TCD,,,,,,,,,,
23,Chad-Libya border peace process,TCD,,,,,,,,,,
24,South Sudan: Pre-secession Local Peace Processes,SSD,6,,,,,,,,4,"if it is 'pre-secession', it has to be completed technically since we're now post-secession"
25,China-India border dispute peace process,IND,3,check,,,,,,,,
26,Chad: Fourth War Process,TCD,,check,,,,,,,,
27,China-Russia border dispute peace process,CHN,,check ,,,,,,,,
28,DRC: Second Congo war process,COD,,check,,,,,,,,
29,Nicaragua contra process,NIC,5,,,,,,,,,
30,India-Darjeeling peace process,IND,,Pax check. Probably 4.,,,,,,,,
31,DRC: Eastern DRC processes,COD,1,check,,,,,,,1,"ongoing, however M23 agreement has only been partially signed - so it remains doubtful what the actual process is"
32,US-North Korea interstate process,PRK,,"probably 4, as any process would be new",,,,,,,,
33,"Palestine, Intra-Palestian agreements",,,hard to tell whether 4 or is 2 or 3 ,,,,,,,,
34,Djibouti-Eritrea border dispute peace process,DJI,,check,,,,,,,,I don’t think there's anything anymore
35,Ecuador-Peru border dispute peace process,ECU,4,successful,,,,,,,,
36,El Salvador peace process,SLV,4,successful,,,,,,,,
37,Eritrea-Ethiopia border dispute peace process,ERI,4,successful,,,,,,,5,I'd see this process as just now breaking down
38,Eritrea-Sudan peace process,ERI,5,check,,,,,,,5,terminated through the war
39,Ethiopia peace process,ETH,1,check ,,,,,,,1,"if this is Tigray, sort of ongoing, Omoria, less so, Amhara, even more difficult"
40,Ogaden peace process,ETH,2,but successful,,,,,,,2,ongoing and successful
41,Libyan transitional process,LBY,5,check against pax,,,,,,,,
42,Gabon peace process,GAB,,check,,,,,,,,
43,Abkhazia peace process,GEO,3,check,change to 1 - 59th round of the Geneva International Discussions (GID) took place on 5-6 December 2023 and next round is scheduled for april 2024. both South Ossetia and Abkhazia part of GID - LW,2nd question: are these effectively the same process now since the GID was formed in 2008? do we need a new process for any post-2008 agreements for Abkhazia and South Ossetia (e.g. Geneva International Discussions for Georgia-South Ossetia-Abkhazia),,,,,3,
44,South Ossetia peace process,GEO,3,check,change to 1 - 59th round of the Geneva International Discussions (GID) took place on 5-6 December 2023 and next round is scheduled for april 2024. both South Ossetia and Abkhazia part of GID - LW,,,,,,3,
45,Guatemala peace process,GTM,4,"was not all implemented but no real ongoing sense of implementation and things that failed were about decisions not to implement (eg constitution failed at referendum), rather than people not doing things. ",,,,,,,,
46,Guinea Bissau peace process,GNB,,check,,,,,,,,
47,Rwanda-RPF process,RWA,4,,,,,,,,4,
48,Haitian peace process,HTI,5,check,,,,,,,5,this is dead
49,Honduran constitutional crisis process,HND,,check 4 or 5 ,,,,,,,,
50,India Bodoland peace process,IND,see rw,,,,,,5,"Seems as though following ceasefire and our advice to group c.2021, this followed renewed Bodo Peace Accord (2020) so could be a 5. https://www.aninews.in/news/national/politics/assams-bodoland-region-witnesses-peace-development-post-bodo-peace-accord20231216232435/ ",,
51,India-Hmar-Bodoland peace process,IND,,ditto,,,,,,,,
52,India-Nagaland peace process,IND,,ditto,,,,,,,,
53,India-Pakistan border and related process,IND,3,,,,,,,,,
54,India-Tripura peace process,IND,,ditto,,,,,,,,
55,Indonesia-Aceh peace process,IDN,4,successful,,,,,,,4,
56,Moluccas peace process,IDN,,check,,,,,,,,
57,East Timor-Indonesia peace process,IDN,4,successful,,,,,,,,
58,Iraq peace process - first Iraq war,IRQ,5,"successful but new issues, code as 5, as this brought to an end implemeentation",,,,,,,,
59,Iraq peace process - second Iraq war,IRQ,2,,,,,,,,,
60,Rwanda-1990s international agreements,RWA,,check,,,,,,,,
61,Casamance process,SEN,,check,,,,,,,,
62,Northern Ireland peace process,GBR,2,,,,,,,,2,
63,Israel-Palestine peace process,ISR,3,,,,,,,,5,given Gaza this is dead
64,Israel-Lebanon peace process,ISR,5,check,,,,,,,5,same as above
